id,target
"[0, 0]",0.00000
"[0, 1]",0.00000
"[0, 2]",0.00000
"[0, 3]",0.00648
"[0, 4]",0.00000
"[0, 5]",0.00000
"[0, 6]",0.00000
"[0, 7]",0.00000
"[0, 8]",0.00000
"[0, 9]",0.00000
"[0, 10]",0.00000
"[0, 11]",0.00113
"[0, 12]",0.26092
"[0, 13]",0.27103
"[0, 14]",0.00001
"[0, 15]",0.00000
"[0, 16]",0.00000
"[0, 17]",0.00000
"[0, 18]",0.00000
"[0, 19]",0.00000
"[0, 20]",0.00000
"[0, 21]",0.00898
"[0, 22]",0.00000
"[0, 23]",0.00000
"[0, 24]",0.00000
"[0, 25]",0.33760
"[0, 27]",0.00000
"[0, 28]",0.00000
"[0, 29]",0.00000
"[0, 30]",0.00000
"[0, 31]",0.34293
"[0, 32]",0.00001
"[0, 33]",0.18587
"[0, 34]",0.01155
"[0, 35]",0.01403
"[0, 36]",0.00000
"[0, 37]",0.00000
"[0, 38]",0.00000
"[0, 39]",0.00000
"[0, 40]",0.00000
"[0, 41]",0.00000
"[0, 42]",0.00000
"[0, 43]",0.00000
"[0, 44]",0.00000
"[0, 46]",0.00000
"[0, 47]",0.43633
"[0, 48]",0.68565
"[0, 50]",0.00000
"[0, 51]",0.00000
"[0, 52]",0.29521
"[0, 53]",0.33069
"[0, 54]",0.00000
"[0, 55]",0.00000
"[0, 57]",0.67378
"[0, 58]",0.00000
"[0, 60]",0.00000
"[0, 61]",0.00000
"[0, 62]",0.00000
"[0, 63]",0.00000
"[0, 64]",0.00000
"[0, 65]",0.00000
"[0, 66]",0.39265
"[0, 67]",0.28451
"[0, 69]",0.00000
"[0, 70]",0.00000
"[0, 71]",0.17001
"[0, 72]",0.00000
"[0, 73]",0.15473
"[0, 74]",0.00346
"[0, 75]",0.00000
"[0, 76]",0.00000
"[0, 77]",0.00000
"[0, 78]",0.00000
"[0, 79]",0.54803
"[0, 266]",0.00000
"[0, 81]",0.68351
"[0, 82]",0.68339
"[0, 83]",0.68310
"[0, 84]",0.00000
"[0, 85]",0.00000
"[0, 86]",0.00000
"[0, 88]",0.00000
"[0, 89]",0.00000
"[0, 91]",0.00000
"[0, 93]",0.00000
"[0, 94]",0.22347
"[0, 95]",0.00000
"[0, 96]",0.00000
"[0, 98]",0.00000
"[0, 99]",0.00000
"[0, 267]",0.00000
"[0, 101]",0.33743
"[0, 102]",0.00122
"[0, 103]",0.34103
"[0, 104]",0.00000
"[0, 105]",0.00000
"[0, 106]",0.00000
"[0, 107]",0.39972
"[0, 108]",0.00000
"[0, 109]",0.51456
"[0, 110]",0.09931
"[0, 111]",0.00420
"[0, 112]",0.51528
"[0, 113]",0.00000
"[0, 114]",0.00008
"[0, 115]",0.32764
"[0, 116]",0.48056
"[0, 117]",0.49681
"[0, 118]",0.61638
"[0, 119]",0.00000
"[0, 120]",0.30191
"[0, 121]",0.00000
"[0, 122]",0.00000
"[0, 123]",0.00000
"[0, 124]",0.27801
"[0, 125]",0.36118
"[0, 126]",0.00000
"[0, 127]",0.32251
"[0, 128]",0.28295
"[0, 129]",0.00001
"[0, 130]",0.00855
"[0, 131]",0.04452
"[0, 132]",0.00000
"[0, 133]",0.00000
"[0, 134]",0.00000
"[0, 135]",0.00000
"[0, 136]",0.00000
"[0, 137]",0.00000
"[0, 138]",0.00000
"[0, 139]",0.00000
"[0, 140]",0.00000
"[0, 141]",0.00000
"[0, 142]",0.00084
"[0, 143]",0.00000
"[0, 144]",0.00000
"[0, 145]",0.00006
"[0, 146]",0.00000
"[0, 147]",0.00000
"[0, 148]",0.00000
"[0, 149]",0.00000
"[0, 151]",0.00000
"[0, 152]",0.00000
"[0, 153]",0.00000
"[0, 155]",0.00000
"[0, 156]",0.00000
"[0, 157]",0.00000
"[0, 158]",0.00000
"[0, 159]",0.36058
"[0, 160]",0.00000
"[0, 161]",0.00000
"[0, 162]",0.00000
"[0, 163]",0.00000
"[0, 164]",0.00000
"[0, 165]",0.00000
"[0, 166]",0.07348
"[0, 167]",0.00000
"[0, 168]",0.00000
"[0, 169]",0.34582
"[0, 170]",0.00000
"[0, 172]",0.00000
"[0, 173]",0.00000
"[0, 174]",0.00000
"[0, 175]",0.00000
"[0, 176]",0.00000
"[0, 177]",0.00000
"[0, 178]",0.00000
"[0, 179]",0.00000
"[0, 180]",0.00000
"[0, 181]",0.00000
"[0, 182]",0.00000
"[0, 183]",0.00000
"[0, 184]",0.00000
"[0, 185]",0.00000
"[0, 186]",0.67328
"[0, 187]",0.09724
"[0, 188]",0.00000
"[0, 189]",0.00000
"[0, 190]",0.67312
"[0, 192]",0.00000
"[0, 193]",0.00000
"[0, 194]",0.00000
"[0, 195]",0.00000
"[0, 196]",0.00000
"[0, 197]",0.00000
"[0, 198]",0.00000
"[0, 199]",0.00000
"[0, 200]",0.00000
"[0, 201]",0.00000
"[0, 202]",0.00000
"[0, 203]",0.00000
"[0, 204]",0.00000
"[0, 205]",0.00000
"[0, 206]",0.00000
"[0, 207]",0.00000
"[0, 208]",0.00000
"[0, 209]",0.00000
"[0, 210]",0.67137
"[0, 211]",0.00000
"[0, 212]",0.00000
"[0, 213]",0.68892
"[0, 214]",0.00000
"[0, 215]",0.00004
"[0, 216]",0.00000
"[0, 217]",0.00000
"[0, 218]",0.00000
"[0, 219]",0.00000
"[0, 220]",0.00000
"[0, 221]",0.00000
"[0, 222]",0.00000
"[0, 223]",0.00000
"[0, 224]",0.00000
"[0, 225]",0.00000
"[0, 226]",0.00000
"[0, 227]",0.00000
"[0, 228]",0.67289
"[0, 229]",0.00000
"[0, 230]",0.00000
"[0, 231]",0.00000
"[0, 233]",0.00001
"[0, 234]",0.66553
"[0, 235]",0.00000
